index,date,restaurant,spa,beauty salon
0,2019-06-16,83,25,1
1,2019-06-23,82,25,2
2,2019-06-30,78,24,2
3,2019-07-07,80,24,1
4,2019-07-14,88,25,2
5,2019-07-21,84,25,2
6,2019-07-28,85,25,2
7,2019-08-04,86,25,2
8,2019-08-11,82,24,2
9,2019-08-18,77,23,2
10,2019-08-25,76,23,2
11,2019-09-01,77,22,2
12,2019-09-08,73,22,1
13,2019-09-15,74,21,2
14,2019-09-22,76,22,1
15,2019-09-29,74,21,1
16,2019-10-06,70,20,1
17,2019-10-13,73,21,1
18,2019-10-20,70,21,1
19,2019-10-27,68,19,1
20,2019-11-03,75,22,1
21,2019-11-10,77,20,1
22,2019-11-17,74,20,1
23,2019-11-24,73,19,1
24,2019-12-01,64,19,1
25,2019-12-08,72,21,1
26,2019-12-15,88,23,2
27,2019-12-22,94,26,2
28,2019-12-29,100,25,1
29,2020-01-05,76,24,1
30,2020-01-12,80,23,1
31,2020-01-19,86,22,1
32,2020-01-26,72,21,1
33,2020-02-02,72,22,1
34,2020-02-09,89,24,1
35,2020-02-16,81,22,1
36,2020-02-23,73,22,1
37,2020-03-01,70,20,1
38,2020-03-08,56,17,1
39,2020-03-15,52,11,1
40,2020-03-22,39,8,1
41,2020-03-29,39,8,1
42,2020-04-05,42,7,1
43,2020-04-12,40,8,1
44,2020-04-19,42,9,1
45,2020-04-26,43,10,1
46,2020-05-03,47,11,1
47,2020-05-10,50,11,1
48,2020-05-17,49,12,1
49,2020-05-24,54,14,2
50,2020-05-31,55,15,2
51,2020-06-07,61,18,2
52,2020-06-14,65,21,2
53,2020-06-21,66,22,2
54,2020-06-28,65,17,2
55,2020-07-05,60,18,1
56,2020-07-12,56,16,1
57,2020-07-19,57,14,1
58,2020-07-26,58,15,1
59,2020-08-02,59,14,1
60,2020-08-09,58,15,1
61,2020-08-16,54,14,1
62,2020-08-23,54,14,1
63,2020-08-30,58,16,2
64,2020-09-06,62,15,1
65,2020-09-13,59,15,1
66,2020-09-20,63,16,1
67,2020-09-27,65,16,1
68,2020-10-04,63,16,1
69,2020-10-11,68,17,1
70,2020-10-18,68,16,1
71,2020-10-25,65,14,1
72,2020-11-01,49,12,1
73,2020-11-08,66,14,1
74,2020-11-15,60,15,1
75,2020-11-22,61,13,1
76,2020-11-29,53,12,1
77,2020-12-06,53,13,1
78,2020-12-13,53,12,1
79,2020-12-20,55,11,1
80,2020-12-27,59,13,1
81,2021-01-03,47,13,1
82,2021-01-10,52,12,1
83,2021-01-17,49,13,1
84,2021-01-24,54,14,1
85,2021-01-31,62,16,1
86,2021-02-07,70,18,1
87,2021-02-14,73,17,1
88,2021-02-21,66,18,1
89,2021-02-28,70,19,1
90,2021-03-07,72,19,1
91,2021-03-14,77,25,1
92,2021-03-21,78,24,1
93,2021-03-28,76,23,1
94,2021-04-04,81,23,2
95,2021-04-11,80,24,1
96,2021-04-18,79,23,1
97,2021-04-25,81,24,1
98,2021-05-02,89,26,2
99,2021-05-09,89,25,1
100,2021-05-16,87,25,1
101,2021-05-23,89,26,2
102,2021-05-30,91,25,2
103,2021-06-06,92,25,2
104,2021-06-13,90,26,2
105,2021-06-20,93,26,2
106,2021-06-27,93,27,2
107,2021-07-04,94,30,2
108,2021-07-11,95,24,2
109,2021-07-18,93,25,1
110,2021-07-25,90,24,2
111,2021-08-01,90,24,2
112,2021-08-08,90,22,2
113,2021-08-15,89,23,2
114,2021-08-22,83,23,2
115,2021-08-29,84,24,2
116,2021-09-05,90,23,1
117,2021-09-12,83,23,2
118,2021-09-19,81,22,1
119,2021-09-26,85,21,1
120,2021-10-03,84,22,2
121,2021-10-10,88,22,1
122,2021-10-17,85,21,1
123,2021-10-24,78,19,1
124,2021-10-31,83,20,1
125,2021-11-07,89,22,1
126,2021-11-14,84,21,1
127,2021-11-21,85,19,2
128,2021-11-28,74,19,1
129,2021-12-05,82,20,1
130,2021-12-12,82,22,1
131,2021-12-19,89,23,2
132,2021-12-26,94,21,1
133,2022-01-02,75,18,1
134,2022-01-09,73,17,1
135,2022-01-16,71,18,1
136,2022-01-23,77,19,1
137,2022-01-30,85,22,1
138,2022-02-06,90,23,1
139,2022-02-13,94,24,1
140,2022-02-20,94,24,1
141,2022-02-27,86,23,1
142,2022-03-06,87,24,1
143,2022-03-13,91,24,1
144,2022-03-20,90,25,1
145,2022-03-27,84,23,1
146,2022-04-03,86,23,1
147,2022-04-10,90,24,1
148,2022-04-17,85,24,1
149,2022-04-24,88,25,1
150,2022-05-01,90,25,1
151,2022-05-08,88,23,1
152,2022-05-15,84,21,1
153,2022-05-22,83,22,1
154,2022-05-29,89,23,1
155,2022-06-05,86,23,1
156,2022-06-12,86,23,1
157,2022-06-19,94,24,1
158,2022-06-26,88,25,1
159,2022-07-03,92,23,1
160,2022-07-10,91,23,1
161,2022-07-17,94,24,1
162,2022-07-24,92,24,1
163,2022-07-31,90,24,2
164,2022-08-07,88,23,1
165,2022-08-14,90,22,1
166,2022-08-21,86,22,1
167,2022-08-28,84,22,1
168,2022-09-04,84,20,1
169,2022-09-11,81,19,1
170,2022-09-18,83,20,1
171,2022-09-25,84,20,1
172,2022-10-02,83,20,1
173,2022-10-09,85,18,1
174,2022-10-16,76,19,1
175,2022-10-23,80,18,1
176,2022-10-30,73,19,1
177,2022-11-06,78,18,1
178,2022-11-13,81,19,1
179,2022-11-20,80,18,1
180,2022-11-27,69,19,1
181,2022-12-04,77,19,1
182,2022-12-11,79,20,1
183,2022-12-18,90,25,2
184,2022-12-25,100,24,1
185,2023-01-01,79,22,1
186,2023-01-08,75,21,1
187,2023-01-15,84,21,1
188,2023-01-22,82,22,1
189,2023-01-29,83,23,1
190,2023-02-05,78,23,1
191,2023-02-12,90,22,1
192,2023-02-19,86,22,1
193,2023-02-26,82,21,1
194,2023-03-05,81,23,1
195,2023-03-12,81,21,1
196,2023-03-19,80,22,1
197,2023-03-26,86,23,1
198,2023-04-02,87,23,1
199,2023-04-09,83,23,1
200,2023-04-16,81,22,1
201,2023-04-23,83,23,1
202,2023-04-30,80,24,1
203,2023-05-07,88,25,1
204,2023-05-14,89,24,1
205,2023-05-21,82,23,1
206,2023-05-28,87,22,1
207,2023-06-04,85,24,1
208,2023-06-11,91,25,1
209,2023-06-18,93,25,1
210,2023-06-25,91,25,1
211,2023-07-02,92,24,1
212,2023-07-09,86,24,1
213,2023-07-16,86,24,1
214,2023-07-23,87,25,1
215,2023-07-30,85,24,1
216,2023-08-06,83,23,1
217,2023-08-13,80,22,1
218,2023-08-20,73,21,1
219,2023-08-27,79,22,1
220,2023-09-03,81,23,1
221,2023-09-10,73,21,1
222,2023-09-17,76,21,1
223,2023-09-24,82,20,1
224,2023-10-01,77,21,1
225,2023-10-08,76,19,1
226,2023-10-15,77,20,1
227,2023-10-22,72,19,1
228,2023-10-29,80,20,1
229,2023-11-05,80,20,1
230,2023-11-12,73,21,1
231,2023-11-19,78,19,1
232,2023-11-26,72,20,1
233,2023-12-03,74,20,1
234,2023-12-10,76,22,1
235,2023-12-17,81,23,1
236,2023-12-24,91,24,1
237,2023-12-31,87,23,1
238,2024-01-07,73,22,1
239,2024-01-14,76,21,1
240,2024-01-21,74,19,1
241,2024-01-28,75,23,1
242,2024-02-04,76,22,1
243,2024-02-11,81,22,1
244,2024-02-18,83,23,1
245,2024-02-25,73,22,1
246,2024-03-03,73,22,1
247,2024-03-10,73,23,1
248,2024-03-17,74,23,1
249,2024-03-24,78,25,1
250,2024-03-31,79,23,1
251,2024-04-07,73,24,1
252,2024-04-14,70,23,1
253,2024-04-21,76,24,1
254,2024-04-28,73,23,1
255,2024-05-05,80,27,1
256,2024-05-12,77,23,1
257,2024-05-19,74,24,1
258,2024-05-26,76,25,1
259,2024-06-02,74,23,1
260,2024-06-09,81,24,1
261,2024-06-16,79,25,1
