date,restaurant,spa,beauty salon
2019-06-16,82,25,2
2019-06-23,82,28,1
2019-06-30,84,24,1
2019-07-07,78,24,1
2019-07-14,86,23,2
2019-07-21,87,23,2
2019-07-28,87,23,2
2019-08-04,93,23,2
2019-08-11,89,22,2
2019-08-18,84,22,2
2019-08-25,73,25,1
2019-09-01,75,20,1
2019-09-08,68,18,1
2019-09-15,67,20,1
2019-09-22,71,19,1
2019-09-29,64,20,1
2019-10-06,67,19,2
2019-10-13,69,18,1
2019-10-20,65,20,1
2019-10-27,63,17,1
2019-11-03,65,19,1
2019-11-10,67,17,1
2019-11-17,66,19,1
2019-11-24,68,19,2
2019-12-01,64,20,1
2019-12-08,69,21,1
2019-12-15,71,25,1
2019-12-22,87,27,1
2019-12-29,87,23,2
2020-01-05,68,23,1
2020-01-12,70,22,1
2020-01-19,75,23,1
2020-01-26,72,22,1
2020-02-02,69,22,1
2020-02-09,79,26,1
2020-02-16,78,24,1
2020-02-23,73,23,1
2020-03-01,69,22,1
2020-03-08,68,22,1
2020-03-15,60,15,1
2020-03-22,42,10,1
2020-03-29,45,9,1
2020-04-05,45,8,1
2020-04-12,47,9,1
2020-04-19,51,11,1
2020-04-26,55,13,1
2020-05-03,63,22,2
2020-05-10,62,22,2
2020-05-17,61,23,2
2020-05-24,62,21,2
2020-05-31,67,21,2
2020-06-07,70,23,2
2020-06-14,70,22,1
2020-06-21,68,20,1
2020-06-28,68,19,1
2020-07-05,65,19,1
2020-07-12,64,19,1
2020-07-19,64,22,1
2020-07-26,67,20,1
2020-08-02,72,21,1
2020-08-09,69,21,1
2020-08-16,66,19,1
2020-08-23,62,18,1
2020-08-30,69,20,2
2020-09-06,70,18,1
2020-09-13,67,17,1
2020-09-20,64,18,1
2020-09-27,65,18,1
2020-10-04,66,19,1
2020-10-11,69,20,1
2020-10-18,70,21,1
2020-10-25,67,17,1
2020-11-01,53,17,1
2020-11-08,66,17,1
2020-11-15,65,19,1
2020-11-22,66,18,1
2020-11-29,61,18,1
2020-12-06,63,19,1
2020-12-13,65,20,1
2020-12-20,74,21,2
2020-12-27,80,20,1
2021-01-03,65,19,1
2021-01-10,67,18,1
2021-01-17,68,20,1
2021-01-24,67,20,1
2021-01-31,70,20,1
2021-02-07,63,20,1
2021-02-14,70,16,1
2021-02-21,77,22,1
2021-02-28,71,24,1
2021-03-07,78,25,2
2021-03-14,87,32,2
2021-03-21,82,28,2
2021-03-28,85,26,2
2021-04-04,81,26,1
2021-04-11,85,26,2
2021-04-18,79,29,1
2021-04-25,86,27,2
2021-05-02,91,34,2
2021-05-09,92,28,2
2021-05-16,85,28,2
2021-05-23,87,28,2
2021-05-30,93,25,1
2021-06-06,88,27,2
2021-06-13,95,30,2
2021-06-20,93,27,2
2021-06-27,88,28,2
2021-07-04,98,28,1
2021-07-11,97,31,2
2021-07-18,91,28,2
2021-07-25,93,26,2
2021-08-01,94,25,2
2021-08-08,94,25,2
2021-08-15,91,24,2
2021-08-22,85,22,2
2021-08-29,83,23,1
2021-09-05,87,23,2
2021-09-12,80,22,1
2021-09-19,78,21,2
2021-09-26,81,21,1
2021-10-03,85,19,1
2021-10-10,81,23,2
2021-10-17,81,22,1
2021-10-24,76,21,1
2021-10-31,82,20,1
2021-11-07,83,25,1
2021-11-14,81,22,1
2021-11-21,81,21,1
2021-11-28,73,20,1
2021-12-05,86,22,1
2021-12-12,86,25,2
2021-12-19,95,25,2
2021-12-26,94,23,2
2022-01-02,78,23,1
2022-01-09,74,24,1
2022-01-16,72,19,1
2022-01-23,78,21,1
2022-01-30,74,20,1
2022-02-06,86,24,1
2022-02-13,90,26,1
2022-02-20,88,24,1
2022-02-27,89,26,2
2022-03-06,89,26,1
2022-03-13,100,31,2
2022-03-20,81,24,1
2022-03-27,80,25,1
2022-04-03,86,25,1
2022-04-10,85,24,1
2022-04-17,83,26,1
2022-04-24,82,26,1
2022-05-01,88,29,1
2022-05-08,87,26,1
2022-05-15,86,24,1
2022-05-22,86,24,1
2022-05-29,89,23,1
2022-06-05,88,28,1
2022-06-12,90,26,1
2022-06-19,96,25,1
2022-06-26,90,24,1
2022-07-03,95,25,1
2022-07-10,92,24,2
2022-07-17,96,26,1
2022-07-24,95,25,1
2022-07-31,95,23,1
2022-08-07,85,22,2
2022-08-14,93,23,1
2022-08-21,83,20,1
2022-08-28,83,22,1
2022-09-04,83,19,1
2022-09-11,79,20,1
2022-09-18,77,20,1
2022-09-25,79,19,1
2022-10-02,81,21,1
2022-10-09,76,19,1
2022-10-16,75,19,1
2022-10-23,76,19,1
2022-10-30,73,16,1
2022-11-06,74,18,1
2022-11-13,78,18,1
2022-11-20,72,16,1
2022-11-27,69,17,1
2022-12-04,73,20,1
2022-12-11,77,21,1
2022-12-18,79,23,1
2022-12-25,97,26,1
2023-01-01,81,22,1
2023-01-08,80,22,1
2023-01-15,81,21,1
2023-01-22,75,21,1
2023-01-29,73,20,1
2023-02-05,83,22,1
2023-02-12,84,22,1
2023-02-19,84,22,1
2023-02-26,78,22,2
2023-03-05,82,24,1
2023-03-12,92,24,1
2023-03-19,82,21,1
2023-03-26,81,21,1
2023-04-02,81,22,1
2023-04-09,81,22,1
2023-04-16,80,22,1
2023-04-23,79,24,1
2023-04-30,87,25,1
2023-05-07,86,29,1
2023-05-14,87,26,1
2023-05-21,86,23,1
2023-05-28,88,22,1
2023-06-04,85,23,1
2023-06-11,85,26,1
2023-06-18,93,24,1
2023-06-25,91,24,1
2023-07-02,96,24,1
2023-07-09,90,24,1
2023-07-16,88,23,1
2023-07-23,90,25,1
2023-07-30,98,23,1
2023-08-06,90,23,1
2023-08-13,88,23,1
2023-08-20,82,21,1
2023-08-27,82,21,1
2023-09-03,79,21,1
2023-09-10,76,20,1
2023-09-17,75,19,1
2023-09-24,75,19,1
2023-10-01,71,18,1
2023-10-08,73,18,1
2023-10-15,71,18,1
2023-10-22,71,18,1
2023-10-29,72,18,1
2023-11-05,75,20,1
2023-11-12,75,19,1
2023-11-19,77,19,1
2023-11-26,71,20,1
2023-12-03,77,21,1
2023-12-10,76,20,1
2023-12-17,77,26,1
2023-12-24,83,23,1
2023-12-31,82,22,1
2024-01-07,67,21,1
2024-01-14,67,19,1
2024-01-21,67,19,1
2024-01-28,70,21,1
2024-02-04,71,22,1
2024-02-11,80,23,1
2024-02-18,78,24,1
2024-02-25,74,25,1
2024-03-03,72,24,1
2024-03-10,84,24,1
2024-03-17,74,24,1
2024-03-24,76,24,1
2024-03-31,75,21,1
2024-04-07,74,21,1
2024-04-14,71,24,1
2024-04-21,72,23,1
2024-04-28,71,24,1
2024-05-05,78,29,1
2024-05-12,78,24,1
2024-05-19,77,24,1
2024-05-26,81,23,1
2024-06-02,78,26,1
2024-06-09,83,28,1
2024-06-16,76,28,1
